"من لها: اذهبي الى بيت ابيك ولا	حاجة	لي بك ، وعندي منها اولاد. زوجي مدمن حبوب مخدرة ،",,,
"زوجي على منع الحمل المؤقت ، لكن الآن	ارغب	بشدة في عمل طفل انابيب من اجل All Fatawa بذكر وتجنبا لاحمال",,,
"زوجي فهو حر معه يقابله خارج البيت ان	شاء	ذلك ولم يقاطعه ابدا ، وفوجئت ايضا All Fatawa معه يقابله خارج",,,
"ايضا All Fatawa معه يقابله خارج البيت ان	شاء	ذلك ولم يقاطعه ابدا ، وفوجئت ايضا ان اخا زوجي يقاطع جيرانه",,,
"زوجي يطلبني في بيته وزوجة ابن عمتي لا	تريد	جدتي عندها في البيت وطلبت مني ان All Fatawa اتركها في البيت",,,
"دج وكان ذلك في سنة 1987 و لما	رغب	زوجي في شراء سيارة ، بعت سكني و اعطيته 70000",,,
"الامر نبيع في السيارات ونشتري وكان زوجي كلما	اراد	شراء سيارة يضيف قسطا من المال الى ان اشترينا سيارة جديدة يقدر",0,,
"خلفها من زوجته الاولى ام لا ؟ -كما	رغب	زوجي اثناء حياته في فتح متجر لبيع المواد الغدائية وبما انه لم",,,
"شيء من اعمال المنزل ، وانا وزوجي لا	نرغب	في الخادمة النظامية All Fatawa الامر ، فهل المصالح والمفاسد التي ذكرتها",,,
"ان الرجل All Fatawa ان اوديه عنها ان	شاء	الله مع مقاسمة التكلفة مع اخوتي. فهل تكاليف حج زوجي نتقاسمها",,,
"زوجة ثانية ، لدي ولد وبنت فقط ،	ارغب	في الحمل لكن زوجي يرفض ؛ لانه مكتف بالابناء من زوجته الاولى",,,
"من مال زوجي وبرضاه فهل حجتي مقبولة ان	شاء	الله وهل لي من ثواب الحج ام ان الثواب All Fatawa.",,,
"وقعت غيابيا. هل وقعت اولا ؟ زوجي	اراد	الاصلاح بين اخيه وزوجة اخيه ؛ لانهما وصلا للطلاق. وقال لها",,,
"حيث انني اعمل All Fatawa مثلا انا ان	شاء	الله سوف اسافر الي مصر لاننا في السعودية المهم تشاجر معي زوجي",,,
"واكتشفت اني حامل من شهرين ولما علم زوجي	طلب	اسقاط الجنين او الطلاق فما حكم الدين ؟ انا تزوجت وطلقت وتزوجت",,,
"واسع وراتب وتعيش حياة كريمة لكنها تتعذر انها	تريد	تغيير الجو ؟! للطريق الصحيح ، ولن انساكم من دعواتي في",,,
"وامه سيدة متسلطة الى آخر درجة ، ولا	تريد	الاب المتوفى والاهل والشرف والتعدي على كل حقوقي - وبالمقابل كل ما",,,
"دون محرم شرعي ؟ سؤالي هو: زوجي	طلب	مني الذهاب معه في رحلة بحرية مروراًً بعدة دول وانا متخوفة من",,,
"زوجي ومعهم ؟ ؟ شاب زنا ثم انه	اراد	ان يتزوج ، فنصحه بعض الناس بانه وقد نسيت اصلا هل اتممتها",,,
"يكون الحسد هو السبب خاصة وان هناك فتاة	رغبت	هي واهلها في الزواج من زوجي ولكن اختارني زوجي ومن يومها اخذوا",,,
"لم يكن هو السبب خاصة وان هناك فتاة	رغبت	هي واهلها في الزواج من زوجي ولكن اختارني زوجي ومن يومها اخذوا",,,
"عندنا في الحديقة ، ولكن عندما سافرنا اسبوعا	اراد	زوجي ان يغلق بوابة الحديقة وقال لابنتي حاولي ان تخرجيهم فلم تقدر",,,
"على العمل ؛ من اجل ان اتحمل المسئولية	طلب	العلم يوماً ما. انا فتاة متزوجة من عدة سنوات ، وحدثت",,,
"وانا حامل في الشهر السادس ، وهو الذي	طلب	الطلاق في المحكمة علي كامي واختي.... فكم عدد الطلقات ؟",,,
"المشاكل بيننا ، فطلبت والدة زوجي منه ان	يختار	بيني وبين اهله ووالدته ، وقالت له: "" ان انت اخترت",,,
"وصلت الى طريق مسدود ؟. زوجي لديه	رغبة	في الزواج ، وكان يتواصل عن طريق مواقع الزواج ، ويتحاور مع",,,
"فائدة ام لا ؟ وشكرًا. لدي سؤال	اتمنى	ان تجيبوني عنه لضرورته. زوجي فيه من الصفات الحسنة الكثير ،",,,
"رجل ذو دخل عال -والحمد لله- وفي العيد	طلب	مني شراء ارخص فستان في السوق والسلام كان يتفاهم مع زوجاته ،",,,
"بسوء ، بحيث تكرهني في الخروج ، ولا	تريد	منها امها العمل ابدا في المنزل ، واذا طلبت منها العمل فتظل",,,
"حساسة جدا ، احب التفاؤل والصبر ، ما	شاء	الله ، تبارك الله). احيانا اقول لعله من حديثي عنه",,,
"نحن بها ، وجاء بهم الى هنا لانه	يرغب	بذلك. هل زوجي ياثم لمساعدة اخواته البنات لالدراسة هنا ، مع",,,
"بي فهو نفاق من اجل زوجي ، ولا	تريد	مخاطبتي ، ولا زيارتي ، وتكرهني. ويقول: انني علمته درسا",,,
"فقط ؟ بسم الله الرحمن الرحيم والدة زوجي	تريد	الباس طفلي الرضيع الذكر الذهب ومصرة على ذلك ، رغم اني ارفض",,,
"اثق بهم ، حتى لا يتصرف بها كما	يهوى	مع العلم بان الظروف المعيشية جيدة والحمد لله ، زوجي يشتغل في",,,
"جهزني به مع انه جعل زوجي يحضر كل	حاجة	ومع ان حالة ابي المادية ميسورة جدا فانه لا يحتاج الي ميراثي",,,
"، لم كنت في بداية الاربعين ، وكنت	اتمنى	ان يرزقني الله بطفل ، غير ابني من زوجي الاول الذي طلقني",,,
"بازمة مالية وصرفت المبلغ ، الح اخي في	طلب	المبلغ ، فقال زوجي لاخي هذا حق من حقوقي ورفض ارجاعه.",,,
"سامحه ، كررها طرد الخادمة ، بعد فترة	طلب	، بعد فترة طلب من اخي ان يعيش بمفرده ، نحن في",,,
"الخادمة ، بعد فترة طلب ، بعد فترة	طلب	من اخي ان يعيش بمفرده ، نحن في دولة اجنبية ، زوجي",,,
"في دولة اجنبية ، زوجي خوفا على اخي	طلب	منه ان يرجع الى بلده وسيعطيه فلوس التذكرة. قال اخي وسيعطيه",,,
"، انا لم اكن اعرف فقرر السفر ،	طلب	من زوجي ان يراني قبل السفر لمدة ساعتين وافق زوجي اخبرني بذلك",,,
"اصلي فبكيت ، اكن اعرف فقرر السفر ،	طلب	من زوجي ان يراني قبل السفر لمدة ساعتين وافق زوجي اخبرني بذلك",,,
"؟ ما حكم المشاركة بمسابقة يدفع ، وقد	اراد	الله وانجبت في العالم التالي ولداً ولكن حدث ان توفي زوج اخت",,,
"1. اني سوف اتزوج قريبا و زوجي	طلب	مني ان ادخل معه الى غرفة الضيافة لكي اسلم على اخيه واجلس",,,
"لزوجي ان ياخذ 11يوما مديره اشترط عليه ان	اراد	التثبيت قبل موعد ولادتي ان لا ياخذ ال11يوما",,,
"مشكورين زوجي تزوج من امراة اخرى من غير	رغبة	منه وانما بتاثير امه واخته المشكله انه اصبح صافية وانا والحمد لله", وقبل زوجي لانه,,
". زوجي متوفى منذ شهر ، ولي سؤال	اتمنى	الاجابة عليه وهو: امي متوفاة منذ سنة وبعض الجيران ان لي",,,
"، ودائما عندها حجة عنها ولا اجاملها عن	قصد	مني ، وان اضطررت لذلك فعلته على مضض ، حتى زوجي يلومني",,,
"مسؤول عنه ورضيت السيدة بذلك وقالت انها لا	تريد	الايصال لتسجن زوجها وانما ارادت ان تجعله يرد اليها مالها وطالما انه",,,
"القديم فيتم بيعها من قبل الشركة ، زوجي	طلب	من المسؤول عن البيع والشراء لهذه الاشياء (لا من صاحب العمل",,,
"و شكرا لكم ؟ انا حامل ووالدة زوجي	تريد	تسمية المولودة باسمها وانا غير راضية ، فهل يبيح الاسلام ذلك افيدونا",,,
"بالبريد ، الا ان زوجي ظل يماطل بغير	قصد	وقد حاولنا لاحقا الاتصال بها عبر الهاتف لكننا لم نتمكن من لا",,,
"بعثت لزوجي لياخذني ؛ فوجدته ذهب ، فذهبت	طلب	مني العودة ولم اعد هل هذا خطا ؟ وكان ابي يريد الطلاق",,,
"، انا ، فانا محبطة ؛ لدرجة اني	اتمنى	الموت في كل يوم ، فانا لا اريد زوجي ، اريد الطلاق",,,
"اسلم من لسانه ودعائه عليّ. بعدها قررت	طلب	الطلاق من زوجي ؛ لانني شعرت بان بقائي مع رجل اكرهه قد",,,
"سنتان على الاتفاق بين الاهل ، ان والدي	طلب	100جرام ذهب ، كشرط لاتمام لخطوبة ؛ ووافق زوجي ، رغم انه",,,
"لكوني فاشلة في وعظ زوجي وابنتي التي لا	تريد	ان تحتجب ؟ هل ساحاسب امام الله على ماكلي و مشربي اوروبية",,,
". وانتهينا ايقاع الطلاق. اسئلتي من اجل	طلب	العلم ولكم جزيل الشكر. اذا قال لي زوجي: سوف اطلقك",,,
"جلسنا نتكلم",,,
"وبقي مبلغ ستة آلاف يورو في انني لم	اعجب	بشكله الخارجي ؛ لكيلا اندم كما ندمت على الاول ، الا ان"," وكانت الاوضاع عادية. زوجي	اراد	السفر مع اصحابه للخارج", وانا رفضت تمامًا, وخيرته بيني وبين
"سنوات وتم تكسير الدش افسر به تصرفاتي تجاهها	اتمنى	الاجابة عما استطيع فعله ؟ جزاكم الله خيراً... زوجة زوجي تطالبني",,,
